"home_team","away_team","home_score","home_xg","home_penalty","away_score","away_xg","away_penalty","home_manager","home_captain","away_manager","away_captain","home_goals","away_goals","Attendance","Venue","Officials","Date","Score","Referee","Notes","Round","Host","Year"
"Soviet Union","England",1,NA,NA,0,NA,NA,"Gavril Kachalin","Nikita Simonyan","Walter Winterbottom","Billy Wright","Anatoli Ilyin · 68",NA,23182,"Nya Ullevi, Gothenburg","Albert Dusch (Referee) · Jan Bronkhorst (AR1) · Fritz Seipelt (AR2)",1958-06-17,"1–0","Albert Dusch",NA,"Group stage play-off","Sweden",1958
"Sweden","Wales",0,NA,NA,0,NA,NA,"George Raynor","Bengt Gustavsson","James Murphy","Dave Bowen",NA,NA,30287,"Rasunda Stadium, Solna","Lucien Van Nuffel (Referee) · Leo Lemesic (AR1) · Nikolaj Latychev (AR2)",1958-06-15,"0–0","Lucien Van Nuffel",NA,"Group stage","Sweden",1958
"Paraguay","Yugoslavia",3,NA,NA,3,NA,NA,"Aurelio Gonzalez","Juan Bautista Agüero","Aleksandar Tirnanic","Branko Zebec","José Parodi · 20|Juan Bautista Agüero · 49|Jorge Lino Romero · 80","Radivoje Ognjanović · 12|Todor Veselinović · 29|Zdravko Rajkov · 73",13103,"Tunavallen, Eskilstuna","Martin Macko (Referee) · Benjamin Griffiths (AR1) · Juan Gardeazabal (AR2)",1958-06-15,"3–3","Martin Macko",NA,"Group stage","Sweden",1958
"West Germany","Northern Ireland",2,NA,NA,2,NA,NA,"Sepp Herberger","Hans Schäfer","Peter Doherty","Danny Blanchflower","Helmut Rahn · 20|Uwe Seeler · 79","Peter McParland · 19|Peter McParland · 60",21990,"Malmo Stadion, Malmï¿½","Joaquim Fernandes Campos (Referee) · Sten Ahlner (AR1) · Leo Helge (AR2)",1958-06-15,"2–2","Joaquim Fernandes Campos",NA,"Group stage","Sweden",1958
"Czechoslovakia","Argentina",6,NA,NA,1,NA,NA,"Karel Kolsky","Ladislav Novák","Guillermo Stabile","Pedro Dellacha","Milan Dvořák · 8|Zdeněk Zikán · 17|Zdeněk Zikán · 40|Jiří Feureisl · 69|Václav Hovorka · 82|Václav Hovorka · 89","Oreste Corbatta (P) · 65",16418,"Olympia Stadium, Helsingborg","Arthur Ellis (Referee) · Reginald Leafe (AR1) · Fritz Seipelt (AR2)",1958-06-15,"6–1","Arthur Ellis",NA,"Group stage","Sweden",1958
"England","Austria",2,NA,NA,2,NA,NA,"Walter Winterbottom","Billy Wright","Josef Argauer","Gerhard Hanappi","Johnny Haynes · 56|Derek Kevan · 73","Karl Koller · 16|Alfred Körner · 70",15872,"Ryavallen, Boras","Jan Bronkhorst (Referee) · Albert Dusch (AR1) · Istvan Zsolt (AR2)",1958-06-15,"2–2","Jan Bronkhorst",NA,"Group stage","Sweden",1958
"Brazil","Soviet Union",2,NA,NA,0,NA,NA,"Vicente Feola","Hilderaldo Bellini","Gavril Kachalin","Igor Netto","Vavá · 3|Vavá · 77",NA,50928,"Nya Ullevi, Gothenburg","Maurice Guigue (Referee) · Birger Nilsen (AR1) · Carl Frederik Jorgensen (AR2)",1958-06-15,"2–0","Maurice Guigue",NA,"Group stage","Sweden",1958
"Hungary","Mexico",4,NA,NA,0,NA,NA,"Lajos Baroti","Nándor Hidegkuti","Antonio Lopez","Antonio Carbajal","Lajos Tichy · 19|Lajos Tichy · 46|Károly Sándor · 54|József Bencsics · 69",NA,13300,"Jarnvallen, Sandviken","Arne Eriksson (Referee) · Jose Maria Codesal (AR1) · Jack Mowat (AR2)",1958-06-15,"4–0","Arne Eriksson",NA,"Group stage","Sweden",1958
"France","Scotland",2,NA,NA,1,NA,NA,"Albert Batteaux","Robert Jonquet","Dawson Walker","Bobby Evans","Raymond Kopa · 22|Just Fontaine · 44","Sammy Baird · 66",13554,"Eyravallen, Orebro","Juan Brozzi (Referee) · Vincenzo Orlandini (AR1) · Paul Wyssling (AR2)",1958-06-15,"2–1","Juan Brozzi",NA,"Group stage","Sweden",1958
"Sweden","Hungary",2,NA,NA,1,NA,NA,"George Raynor","Nils Liedholm","Lajos Baroti","József Bozsik","Kurt Hamrin · 34|Kurt Hamrin · 55","Lajos Tichy · 77",38850,"Rasunda Stadium, Solna","Jack Mowat (Referee) · Lucien Van Nuffel (AR1) · Georg Dragvoll (AR2)",1958-06-12,"2–1","Jack Mowat",NA,"Group stage","Sweden",1958
"Soviet Union","Austria",2,NA,NA,0,NA,NA,"Gavril Kachalin","Nikita Simonyan","Josef Argauer","Gerhard Hanappi","Anatoli Ilyin · 15|Valentin Kozmich Ivanov · 63",NA,21239,"Ryavallen, Boras","Carl Frederik Jorgensen (Referee) · Birger Nilsen (AR1) · Gosta Ackeborn (AR2)",1958-06-11,"2–0","Carl Frederik Jorgensen",NA,"Group stage","Sweden",1958
"West Germany","Czechoslovakia",2,NA,NA,2,NA,NA,"Sepp Herberger","Hans Schäfer","Karel Kolsky","Ladislav Novák","Hans Schäfer · 59|Helmut Rahn · 70","Milan Dvořák (P) · 24|Zdeněk Zikán · 43",25000,"Olympia Stadium, Helsingborg","Arthur Ellis (Referee) · Reginald Leafe (AR1) · Fritz Seipelt (AR2)",1958-06-11,"2–2","Arthur Ellis",NA,"Group stage","Sweden",1958
"Argentina","Northern Ireland",3,NA,NA,1,NA,NA,"Guillermo Stabile","Pedro Dellacha","Peter Doherty","Danny Blanchflower","Oreste Corbatta (P) · 38|Norberto Menéndez · 55|Ludovico Avio · 59","Peter McParland · 3",14174,"Orjans Vall, Halmstad","Sten Ahlner (Referee) · Joaquim Fernandes Campos (AR1) · Leo Helge (AR2)",1958-06-11,"3–1","Sten Ahlner",NA,"Group stage","Sweden",1958
"Yugoslavia","France",3,NA,NA,2,NA,NA,"Aleksandar Tirnanic","Branko Zebec","Albert Batteaux","Roger Marche","Aleksandar Petaković · 16|Todor Veselinović · 63|Todor Veselinović · 88","Just Fontaine · 4|Just Fontaine · 85",12217,"Arosvallen, Vasteras","Benjamin Griffiths (Referee) · Paul Wyssling (AR1) · Georg Dragvoll (AR2)",1958-06-11,"3–2","Benjamin Griffiths",NA,"Group stage","Sweden",1958
"Paraguay","Scotland",3,NA,NA,2,NA,NA,"Aurelio Gonzalez","Juan Bautista Agüero","Dawson Walker","Tommy Younger","Juan Bautista Agüero · 4|Cayetano Ré · 45|José Parodi · 73","Jackie Mudie · 24|Bobby Collins · 76",11665,"Idrottsparken, Norrkï¿½Ping","Vincenzo Orlandini (Referee) · Juan Gardeazabal (AR1) · Bengt Andren (AR2)",1958-06-11,"3–2","Vincenzo Orlandini",NA,"Group stage","Sweden",1958
"Brazil","England",0,NA,NA,0,NA,NA,"Vicente Feola","Hilderaldo Bellini","Walter Winterbottom","Billy Wright",NA,NA,40895,"Nya Ullevi, Gothenburg","Albert Dusch (Referee) · Bertil Loeoew (AR1) · Istvan Zsolt (AR2)",1958-06-11,"0–0","Albert Dusch",NA,"Group stage","Sweden",1958
"Mexico","Wales",1,NA,NA,1,NA,NA,"Antonio Lopez","Antonio Carbajal","James Murphy","Dave Bowen","Jaime Belmonte · 89","Ivor Allchurch · 32",15150,"Rasunda Stadium, Solna","Leo Lemesic (Referee) · Nikolaj Latychev (AR1) · Jose Maria Codesal (AR2)",1958-06-11,"1–1","Leo Lemesic",NA,"Group stage","Sweden",1958
"Sweden","Mexico",3,NA,NA,0,NA,NA,"George Raynor","Nils Liedholm","Antonio Lopez","Antonio Carbajal","Agne Simonsson · 17|Nils Liedholm (P) · 57|Agne Simonsson · 64",NA,34107,"Rasunda Stadium, Solna","Nikolaj Latychev (Referee) · Jack Mowat (AR1) · Arne Eriksson (AR2)",1958-06-08,"3–0","Nikolaj Latychev",NA,"Group stage","Sweden",1958
"Northern Ireland","Czechoslovakia",1,NA,NA,0,NA,NA,"Peter Doherty","Danny Blanchflower","Karel Kolsky","Ladislav Novák","Wilbur Cush · 20",NA,10647,"Orjans Vall, Halmstad","Fritz Seipelt (Referee) · Arthur Ellis (AR1) · Joaquim Fernandes Campos (AR2)",1958-06-08,"1–0","Fritz Seipelt",NA,"Group stage","Sweden",1958
"Hungary","Wales",1,NA,NA,1,NA,NA,"Lajos Baroti","Nándor Hidegkuti","James Murphy","Dave Bowen","József Bozsik · 5","John Charles · 27",15343,"Jarnvallen, Sandviken","Jose Maria Codesal (Referee) · Leo Lemesic (AR1) · Lucien Van Nuffel (AR2)",1958-06-08,"1–1","Jose Maria Codesal",NA,"Group stage","Sweden",1958
"Yugoslavia","Scotland",1,NA,NA,1,NA,NA,"Aleksandar Tirnanic","Branko Zebec","Dawson Walker","Tommy Younger","Aleksandar Petaković · 6","Jimmy Murray · 49",9591,"Arosvallen, Vasteras","Paul Wyssling (Referee) · Vincenzo Orlandini (AR1) · Martin Macko (AR2)",1958-06-08,"1–1","Paul Wyssling",NA,"Group stage","Sweden",1958
"Brazil","Austria",3,NA,NA,0,NA,NA,"Vicente Feola","Hilderaldo Bellini","Josef Argauer","Gerhard Hanappi","José Altafini · 38|Nílton Santos · 49|José Altafini · 89",NA,17788,"Rimnersvallen, Udevalla","Maurice Guigue (Referee) · Albert Dusch (AR1) · Jan Bronkhorst (AR2)",1958-06-08,"3–0","Maurice Guigue",NA,"Group stage","Sweden",1958
"Soviet Union","England",2,NA,NA,2,NA,NA,"Gavril Kachalin","Nikita Simonyan","Walter Winterbottom","Billy Wright","Nikita Simonyan · 13|Aleksandr Ivanov · 55","Derek Kevan · 66|Tom Finney (P) · 85",49348,"Nya Ullevi, Gothenburg","Istvan Zsolt (Referee) · Birger Nilsen (AR1) · Carl Frederik Jorgensen (AR2)",1958-06-08,"2–2","Istvan Zsolt",NA,"Group stage","Sweden",1958
"France","Paraguay",7,NA,NA,3,NA,NA,"Albert Batteaux","Robert Jonquet","Aurelio Gonzalez","Juan Bautista Agüero","Just Fontaine · 24|Just Fontaine · 30|Roger Piantoni · 52|Maryan Wisnieski · 61|Just Fontaine · 67|Raymond Kopa · 70|Jean Vincent · 83","Florencio Amarilla · 20|Florencio Amarilla (P) · 44|Jorge Lino Romero · 50",16518,"Idrottsparken, Norrkï¿½Ping","Juan Gardeazabal (Referee) · Benjamin Griffiths (AR1) · Juan Brozzi (AR2)",1958-06-08,"7–3","Juan Gardeazabal",NA,"Group stage","Sweden",1958
"Argentina","West Germany",1,NA,NA,3,NA,NA,"Guillermo Stabile","Pedro Dellacha","Sepp Herberger","Hans Schäfer","Oreste Corbatta · 2","Helmut Rahn · 32|Uwe Seeler · 40|Helmut Rahn · 79",31156,"Malmo Stadion, Malmï¿½","Reginald Leafe (Referee) · Leo Helge (AR1) · Sten Ahlner (AR2)",1958-06-08,"1–3","Reginald Leafe",NA,"Group stage","Sweden",1958
"Germany","Hungary",3,NA,NA,2,NA,NA,"Sepp Herberger","Fritz Walter","Gusztav Sebes","Ferenc Puskás","Max Morlock · 10|Helmut Rahn · 18|Helmut Rahn · 84","Ferenc Puskás · 6|Zoltán Czibor · 8",62500,"Wankdorf Stadium, Berne","William Ling (Referee) · Vincenzo Orlandini (AR1) · Benjamin Griffiths (AR2)",1954-07-04,"3–2","William Ling",NA,"Final","Switzerland",1954
"Austria","Uruguay",3,NA,NA,1,NA,NA,"Walter Nausch","Ernst Ocwirk","Juan Lopez","William Martínez","Ernst Stojaspal (P) · 16|Luis Cruz (OG) · 59|Ernst Ocwirk · 79","Juan Hohberg · 22",32000,"Hardturm, Zurich","Paul Wyssling (Referee) · Istvan Zsolt (AR1) · Arthur Ellis (AR2)",1954-07-03,"3–1","Paul Wyssling",NA,"Third-place match","Switzerland",1954
"Hungary","Uruguay",4,NA,NA,2,NA,NA,"Gusztav Sebes","József Bozsik","Juan Lopez","William Martínez","Zoltán Czibor · 12|Nándor Hidegkuti · 47|Sándor Kocsis · 109|Sándor Kocsis · 116","Juan Hohberg · 75|Juan Hohberg · 86",45000,"La Pontaise, Lausanne","Benjamin Griffiths (Referee) · Charlie Faultless (AR1) · Raymond Vincenti (AR2)",1954-06-30,"4–2","Benjamin Griffiths","Required Extra Time","Semi-finals","Switzerland",1954
"Germany","Austria",6,NA,NA,1,NA,NA,"Sepp Herberger","Fritz Walter","Walter Nausch","Ernst Ocwirk","Hans Schäfer · 31|Max Morlock · 47|Fritz Walter (P) · 54|Ottmar Walter · 61|Fritz Walter (P) · 64|Ottmar Walter · 89","Erich Probst · 51",58000,"St. Jakob, Basel","Vincenzo Orlandini (Referee) · Arthur Ellis (AR1) · Fritz Buchmueller (AR2)",1954-06-30,"6–1","Vincenzo Orlandini",NA,"Semi-finals","Switzerland",1954
"Germany","Yugoslavia",2,NA,NA,0,NA,NA,"Sepp Herberger","Fritz Walter","Aleksandar Tirnanic","Rajko Mitić","Ivica Horvat (OG) · 9|Helmut Rahn · 85",NA,17000,"Charmilles, Geneva","Istvan Zsolt (Referee) · Laurent Franken (AR1) · Fritz Buchmueller (AR2)",1954-06-27,"2–0","Istvan Zsolt",NA,"Quarter-finals","Switzerland",1954
"Hungary","Brazil",4,NA,NA,2,NA,NA,"Gusztav Sebes","József Bozsik","Zeze Moreira","Bauer","Nándor Hidegkuti · 4|Sándor Kocsis · 7|Mihály Lantos (P) · 60|József Bozsik · 71|Sándor Kocsis · 88","Djalma Santos (P) · 18|Júlio Botelho · 65|Nílton Santos · 71|Humberto Tozzi · 79",40000,"Wankdorf Stadium, Berne","Arthur Ellis (Referee) · William Ling (AR1) · Paul Wyssling (AR2)",1954-06-27,"4–2","Arthur Ellis",NA,"Quarter-finals","Switzerland",1954
"Uruguay","England",4,NA,NA,2,NA,NA,"Juan Lopez","Obdulio Varela","Walter Winterbottom","Billy Wright","Carlos Borges · 5|Obdulio Varela · 39|Juan Alberto Schiaffino · 46|Javier Ambrois · 78","Nat Lofthouse · 16|Tom Finney · 67",28000,"St. Jakob, Basel","Carl Steiner (Referee) · Vasa Stefanovic (AR1) · Vincenzo Orlandini (AR2)",1954-06-26,"4–2","Carl Steiner",NA,"Quarter-finals","Switzerland",1954
"Switzerland","Austria",5,NA,NA,7,NA,NA,"Karl Rappan","Roger Bocquet","Walter Nausch","Ernst Ocwirk","Robert Ballaman · 16|Josef Hügi · 17|Josef Hügi · 19|Robert Ballaman · 39|Josef Hügi · 60","Theodor Wagner · 25|Alfred Körner · 26|Theodor Wagner · 27|Ernst Ocwirk · 32|Alfred Körner · 34|Theodor Wagner · 53|Erich Probst · 76",35000,"La Pontaise, Lausanne","Charlie Faultless (Referee) · Manuel Asensi (AR1) · Emil Schmetzer (AR2)",1954-06-26,"5–7","Charlie Faultless",NA,"Quarter-finals","Switzerland",1954
"Germany","Turkey",7,NA,NA,2,NA,NA,"Sepp Herberger","Fritz Walter","Sandro Puppo","Lefter Küçükandonyadis","Ottmar Walter · 7|Hans Schäfer · 12|Max Morlock · 30|Max Morlock · 60|Fritz Walter · 62|Max Morlock · 77|Hans Schäfer · 79","Mustafa Ertan · 21|Lefter Küçükandonyadis · 82",17000,"Hardturm, Zurich","Raymond Vincenti (Referee) · Charlie Faultless (AR1) · Ernst Doerflinger (AR2)",1954-06-23,"7–2","Raymond Vincenti",NA,"Group stage play-off","Switzerland",1954
"Switzerland","Italy",4,NA,NA,1,NA,NA,"Karl Rappan","Roger Bocquet","Lajos Czeizler","Egisto Pandolfini","Josef Hügi · 14|Robert Ballaman · 48|Josef Hügi · 85|Jacques Fatton · 90","Fulvio Nesti · 67",30000,"St. Jakob, Basel","Benjamin Griffiths (Referee) · Jose Da Costa Vieira (AR1) · William Ling (AR2)",1954-06-23,"4–1","Benjamin Griffiths",NA,"Group stage play-off","Switzerland",1954
"Hungary","Germany",8,NA,NA,3,NA,NA,"Gusztav Sebes","Ferenc Puskás","Sepp Herberger","Fritz Walter","Sándor Kocsis · 3|Ferenc Puskás · 17|Sándor Kocsis · 21|Nándor Hidegkuti · 52|Nándor Hidegkuti · 54|Sándor Kocsis · 69|József Tóth · 75|Sándor Kocsis · 78","Alfred Pfaff · 25|Helmut Rahn · 77|Richard Herrmann · 84",56000,"St. Jakob, Basel","William Ling (Referee) · Werner Schicker (AR1) · Benjamin Griffiths (AR2)",1954-06-20,"8–3","William Ling",NA,"Group stage","Switzerland",1954
"Turkey","Korea Republic",7,NA,NA,0,NA,NA,"Sandro Puppo","Turgay Şeren","Yong Shik Kim","Park Kyu-chung","Suat Mamat · 10|Lefter Küçükandonyadis · 18|Suat Mamat · 30|Burhan Sargun · 37|Burhan Sargun · 64|Burhan Sargun · 70|Erol Keskin · 76",NA,4000,"Charmilles, Geneva","Esteban Marino (Referee) · Vincenzo Orlandini (AR1) · Ernest Schonholzer (AR2)",1954-06-20,"7–0","Esteban Marino",NA,"Group stage","Switzerland",1954
"Italy","Belgium",4,NA,NA,1,NA,NA,"Lajos Czeizler","Egisto Pandolfini","Doug Livingstone","Joseph Mermans","Egisto Pandolfini (P) · 41|Carlo Galli · 48|Amleto Frignani · 58|Benito Lorenzi · 78","Léopold Anoul · 81",24000,"Comunale di Cornaredo, Lugano","Carl Steiner (Referee) · Raymond Vincenti (AR1) · Emil Schmetzer (AR2)",1954-06-20,"4–1","Carl Steiner",NA,"Group stage","Switzerland",1954
"Switzerland","England",0,NA,NA,2,NA,NA,"Karl Rappan","Roger Bocquet","Walter Winterbottom","Billy Wright",NA,"Jimmy Mullen · 43|Dennis Wilshaw · 69",43500,"Wankdorf Stadium, Berne","Istvan Zsolt (Referee) · Jose Da Costa Vieira (AR1) · Vasa Stefanovic (AR2)",1954-06-20,"0–2","Istvan Zsolt",NA,"Group stage","Switzerland",1954
"Uruguay","Scotland",7,NA,NA,0,NA,NA,"Juan Lopez","Obdulio Varela","Andy Battie","Willie Cunningham","Carlos Borges · 17|Óscar Míguez · 30|Carlos Borges · 47|Julio Abbadie · 54|Carlos Borges · 57|Óscar Míguez · 83|Julio Abbadie · 85",NA,34000,"St. Jakob, Basel","Vincenzo Orlandini (Referee) · Paul Wyssling (AR1) · Denilo Guidi (AR2)",1954-06-19,"7–0","Vincenzo Orlandini",NA,"Group stage","Switzerland",1954
"Brazil","Yugoslavia",1,NA,NA,1,NA,NA,"Zeze Moreira","Bauer","Aleksandar Tirnanic","Rajko Mitić","Didi · 69","Branko Zebec · 48",24637,"La Pontaise, Lausanne","Charlie Faultless (Referee) · Arthur Ellis (AR1) · Albert Von Gunter (AR2)",1954-06-19,"1–1","Charlie Faultless","Required Extra Time","Group stage","Switzerland",1954
"Austria","Czechoslovakia",5,NA,NA,0,NA,NA,"Walter Nausch","Ernst Ocwirk","Josef Cejp","Ladislav Novák","Ernst Stojaspal · 3|Erich Probst · 4|Erich Probst · 21|Erich Probst · 24|Ernst Stojaspal · 65",NA,26000,"Hardturm, Zurich","Vasa Stefanovic (Referee) · Ernst Doerflinger (AR1) · Josef Gulde (AR2)",1954-06-19,"5–0","Vasa Stefanovic",NA,"Group stage","Switzerland",1954
"France","Mexico",3,NA,NA,2,NA,NA,"Pierre Pibarot","Roger Marche","Antonio Lopez","José Naranjo","Jean Vincent · 19|Raúl Cárdenas (OG) · 46|Raymond Kopa (P) · 88","José Luis Lamadrid · 54|Tomás Balcázar · 85",19000,"Charmilles, Geneva","Manuel Asensi (Referee) · Laurent Franken (AR1) · Rene Baumberger (AR2)",1954-06-19,"3–2","Manuel Asensi",NA,"Group stage","Switzerland",1954
"Switzerland","Italy",2,NA,NA,1,NA,NA,"Karl Rappan","Roger Bocquet","Lajos Czeizler","Giampiero Boniperti","Robert Ballaman · 18|Josef Hügi · 78","Giampiero Boniperti · 44",43000,"La Pontaise, Lausanne","Mario Viana (Referee) · Manuel Asensi (AR1) · Esteban Marino (AR2)",1954-06-17,"2–1","Mario Viana",NA,"Group stage","Switzerland",1954
"Hungary","Korea Republic",9,NA,NA,0,NA,NA,"Gusztav Sebes","Ferenc Puskás","Yong Shik Kim","Min Byung-dae","Ferenc Puskás · 12|Mihály Lantos · 18|Sándor Kocsis · 24|Sándor Kocsis · 36|Sándor Kocsis · 50|Zoltán Czibor · 59|Péter Palotás · 75|Péter Palotás · 83|Ferenc Puskás · 89",NA,13000,"Hardturm, Zurich","Raymond Vincenti (Referee) · Albert Von Gunter (AR1) · Carl Steiner (AR2)",1954-06-17,"9–0","Raymond Vincenti",NA,"Group stage","Switzerland",1954
"Germany","Turkey",4,NA,NA,1,NA,NA,"Sepp Herberger","Fritz Walter","Sandro Puppo","Turgay Şeren","Hans Schäfer · 14|Bernhard Klodt · 52|Ottmar Walter · 60|Max Morlock · 84","Suat Mamat · 2",28000,"Wankdorf Stadium, Berne","Jose Da Costa Vieira (Referee) · Istvan Zsolt (AR1) · Armand Merlotti (AR2)",1954-06-17,"4–1","Jose Da Costa Vieira",NA,"Group stage","Switzerland",1954
"England","Belgium",4,NA,NA,4,NA,NA,"Walter Winterbottom","Billy Wright","Doug Livingstone","Joseph Mermans","Ivor Broadis · 26|Nat Lofthouse · 36|Ivor Broadis · 63|Nat Lofthouse · 91","Léopold Anoul · 5|Henri Coppens · 67|Léopold Anoul · 71|Jimmy Dickinson (OG) · 94",14000,"St. Jakob, Basel","Emil Schmetzer (Referee) · Fritz Buchmueller (AR1) · Willy Ruffli (AR2)",1954-06-17,"4–4","Emil Schmetzer","Required Extra Time","Group stage","Switzerland",1954
"Uruguay","Czechoslovakia",2,NA,NA,0,NA,NA,"Juan Lopez","Obdulio Varela","Oldrich Nejedly","Ladislav Novák","Óscar Míguez · 71|Juan Alberto Schiaffino · 84",NA,20500,"Wankdorf Stadium, Berne","Arthur Ellis (Referee) · William Ling (AR1) · Werner Schicker (AR2)",1954-06-16,"2–0","Arthur Ellis",NA,"Group stage","Switzerland",1954
"Yugoslavia","France",1,NA,NA,0,NA,NA,"Aleksandar Tirnanic","Stjepan Bobek","Pierre Pibarot","Robert Jonquet","Miloš Milutinović · 15",NA,16000,"La Pontaise, Lausanne","Benjamin Griffiths (Referee) · Rene Baumberger (AR1) · Manuel Asensi (AR2)",1954-06-16,"1–0","Benjamin Griffiths",NA,"Group stage","Switzerland",1954
"Brazil","Mexico",5,NA,NA,0,NA,NA,"Zeze Moreira","Bauer","Antonio Lopez","José Naranjo","Baltazar · 23|Didi · 30|José Lázaro Robles · 34|José Lázaro Robles · 43|Júlio Botelho · 69",NA,13470,"Charmilles, Geneva","Paul Wyssling (Referee) · Ernest Schonholzer (AR1) · Jose Da Costa Vieira (AR2)",1954-06-16,"5–0","Paul Wyssling",NA,"Group stage","Switzerland",1954
"Austria","Scotland",1,NA,NA,0,NA,NA,"Walter Nausch","Kurt Schmied","Andy Battie","Willie Cunningham","Erich Probst · 33",NA,25000,"Hardturm, Zurich","Laurent Franken (Referee) · Mario Viana (AR1) · Josef Gulde (AR2)",1954-06-16,"1–0","Laurent Franken",NA,"Group stage","Switzerland",1954
"Sweden","Spain",3,NA,NA,1,NA,NA,"George Raynor","Erik Nilsson","Guillermo Eizaguirre","Telmo Zarra","Stig Sundqvist · 15|Bror Mellberg · 33|Karl-Erik Palmér · 80","Telmo Zarra · 82",11227,"Pacaembu, Sao Paulo","Karel Van Der Meer (Referee) · Jean Lutz (AR1) · Prudencio Garcia (AR2)",1950-07-16,"3–1","Karel Van Der Meer",NA,"Final stage","Brazil",1950
